ID,Age,Education Level,Skills,Interests,Personality Type,Work Experience (Years),Preferred Work Style,Career Recommended
1,22,Bachelor's in CS,"Python, Java, SQL","Problem-Solving, Coding",IITJ,0,Independent,Software Engineer
2,27,Master's in Data Science,"Python, R, Machine Learning","AI, Data Analysis",EITP,3,Analytical,Data Scientist
3,25,Bachelor's in Cybersecurity,"Networking, Ethical Hacking","Cybersecurity, Ethical Hacking",ISTJ,2,Detail-Oriented,Cybersecurity Analyst
4,30,Bachelor's in IT,"AWS, Azure, DevOps","Cloud Computing, Networking",INTP,6,Structured,Cloud Engineer
5,28,PhD in AI,"Deep Learning, TensorFlow, NLP","AI, Machine Learning",IIFP,5,Innovative,AI/ML Engineer
6,23,Bachelor's in CS,"Docker, Kubernetes, CI/CD","DevOps, Automation",ENTJ,1,Fast-Paced,DevOps Engineer
7,26,Bachelor's in CS,"Solidity, Ethereum, Cryptography","Blockchain, Finance",IITJ,4,Logical,Blockchain Developer
8,24,Bachelor's in Game Development,"C++, Unity, Unreal Engine","Gaming, Game Mechanics",ESFP,2,Creative,Game Developer
9,29,Bachelor's in Electronics,"C, Microcontrollers, IoT","Embedded Systems, Hardware",ISTP,7,Hands-On,Embedded Systems Engineer
10,27,Bachelor's in CS,"React, Node.js, MongoDB","Web Development, UX/UI",ENFP,3,Innovative,Full Stack Developer
11,33,Master's in IT,"Java, Spring Boot",AI Research,EIFJ,1,Team-Oriented,Data Scientist
12,34,PhD in AI,"C++, Embedded Systems",Cybersecurity,IITJ,2,Detail-Oriented,Cybersecurity Analyst
13,35,Bachelor's in Cybersecurity,"React, JavaScript",Game Development,EITP,3,Freelance,Game Developer
14,36,Diploma in Networking,"AWS, Cloud Computing",Cloud Solutions,ISTP,4,Analytical,Cloud Engineer
15,22,Bachelor's in CS,"Python, SQL",Software Development,ESFJ,5,Independent,Software Engineer
16,23,Master's in IT,"Java, Spring Boot",AI Research,IIFP,6,Team-Oriented,Data Scientist
17,24,PhD in AI,"C++, Embedded Systems",Cybersecurity,EIFJ,7,Detail-Oriented,Cybersecurity Analyst
